,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More
250,ND,Bowman,3151,1869.6310469999999,1431.8783050000002,939.7742774000001,82.64853965
251,NE,Box Butte,11308,8006.360073000001,5173.432372,1726.2381420000002,342.6335524
252,UT,Box Elder,49975,39735.99068,26059.489569999998,1847.358723,697.6821235
253,KY,Boyd,49542,39751.47765,26404.254259999998,0.0,0.0
254,NE,Boyd,2099,2099.000003,2099.000003,2099.000003,1623.347661
255,KY,Boyle,28432,23545.95065,16042.186069999998,0.0,0.0
256,KY,Bracken,8488,7837.626195000001,7661.077668999999,47.87093155,0.0
257,FL,Bradford,28520,26027.70214,21174.99998,99.64529315,0.0
258,PA,Bradford,62622,52695.74903,45908.29335,3353.588508,0.0
259,AR,Bradley,11508,8517.777975,5856.594695000001,569.0719512999999,0.0
260,TN,Bradley,98963,85231.19032000001,63326.915810000006,38.06659478,0.0
261,MI,Branch,45248,42530.86074,34115.11704,3215.4605579999998,0.0
262,GA,Brantley,18411,17774.9728,17238.2114,2705.343807,0.0
263,WV,Braxton,14523,14243.41276,13813.39821,2987.224403,0.0
264,TX,Brazoria,313166,262841.5902,178219.5121,5702.906766,0.0
265,TX,Brazos,194851,165035.6175,108453.3956,1853.0329140000001,0.0
266,KY,Breathitt,13878,12937.518090000001,11187.413129999999,680.9457053,0.0
267,KY,Breckinridge,20059,18458.41505,16061.026419999998,1961.6188280000001,0.0
268,IA,Bremer,24276,18910.03744,12387.35903,233.2068286,0.0
269,FL,Brevard,543376,442063.6745,270133.3474,214.88400919999998,0.0
270,TX,Brewster,9232,7536.653157,4679.849770000001,1884.9793550000002,1754.023136
271,TX,Briscoe,1637,1637.000002,1637.000002,1637.000002,1474.375828
272,AK,Bristol Bay,997,966.9037659,873.5847577999999,434.14256960000006,0.9884540999999999
273,MA,Bristol,548285,395537.5873,242127.5198,0.0,0.0
274,RI,Bristol,49875,44030.9299,27936.66539,0.0,0.0
275,VA,Bristol,17835,13961.522140000001,5245.272636,0.0,0.0
276,MT,Broadwater,5612,4063.527365,3545.5401060000004,1493.7805050000002,551.9316328
277,NY,Bronx,1385108,61328.96761,14819.27514,0.0,0.0
278,WV,Brooke,24069,20880.70623,15353.859380000002,0.0,0.0
279,SD,Brookings,31965,28807.64798,20819.73454,3869.7528549999997,112.37099679999999
280,GA,Brooks,16243,13991.18832,11869.36941,1097.018562,0.0
281,TX,Brooks,7223,5380.901783,2659.486306,456.97214460000004,288.06853789999997
282,NY,Broome,200600,164041.3105,93195.20161,0.0,0.0
283,CO,Broomfield,55889,38137.168260000006,12890.00482,0.0,0.0
284,FL,Broward,1748066,1086617.598,220533.9394,0.0,0.0
285,IL,Brown,6937,4915.37556,4804.911476,117.74087040000002,0.0
286,IN,Brown,15242,14798.456619999999,13769.27829,450.1479386,0.0
287,KS,Brown,9984,7662.366364,5125.066652,309.8695132,0.0
288,MN,Brown,25893,22281.5022,15122.59821,479.7547193,0.0
289,NE,Brown,3145,1546.388402,1315.389799,317.1275412,81.05985955
290,OH,Brown,44846,43218.962439999996,38842.305,0.0,0.0
291,SD,Brown,36531,29256.0974,18800.118980000003,3262.908275,684.9363167
292,TX,Brown,38106,34446.42562,27650.826460000004,4239.619827,0.0
293,WI,Brown,248007,198315.5254,113819.5232,0.0,0.0
294,SD,Brule,5255,4092.391562,3219.1737160000002,1820.0030120000001,164.7503587
295,NC,Brunswick,107431,100309.8974,82863.92815,1178.174503,0.0
296,VA,Brunswick,17434,16200.841690000001,15324.4387,1539.651572,0.0
297,GA,Bryan,30233,26896.16985,20407.65145,356.2596742,0.0
298,OK,Bryan,42416,35449.994510000004,29509.70584,6368.785082,683.661876
299,IA,Buchanan,20958,17773.97305,13252.17248,1849.5719789999998,0.0
300,MO,Buchanan,89201,64073.877329999996,30285.15823,1171.403086,0.0
301,VA,Buchanan,24098,23835.84584,22884.22128,1356.810559,0.0
302,VA,Buckingham,17146,16811.077119999998,16544.60525,2075.183191,0.0
303,PA,Bucks,625249,486612.0209,280585.4202,0.0,0.0
304,IA,Buena Vista,20260,15421.95029,11108.27204,1287.096896,0.0
305,VA,Buena Vista,6650,6650.000003,6649.988664,0.0,0.0
306,NE,Buffalo,46102,35892.352139999995,21790.73564,9247.005307,376.4715663
307,SD,Buffalo,1912,1369.839224,908.9407167999999,350.8595791,75.57940289
308,WI,Buffalo,13587,11922.84378,11031.2749,3351.857631,0.0
309,KY,Bullitt,74319,62621.12109,45959.25758,1587.812013,0.0
310,GA,Bulloch,70217,64493.1755,45724.72709,2277.3445690000003,0.0
311,AL,Bullock,10914,9409.150328,7362.379027,2465.278359,0.0
