,State,County,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
400,FL,Washington,"9,610","9,038",572,6.0
402,GA,Appling,"8,673","8,040",633,7.0
403,GA,Atkinson,"3,866","3,644",222,6.0
404,GA,Bacon,"4,896","4,615",281,6.0
405,GA,Baker,"1,124","1,042",82,7.0
406,GA,Baldwin,"17,750","16,391","1,359",8.0
407,GA,Banks,"8,222","7,764",458,6.0
408,GA,Barrow,"36,122","34,224","1,898",5.0
409,GA,Bartow,"46,858","44,103","2,755",6.0
410,GA,Ben,"5,477","4,984",493,9.0
411,GA,Berrien,"7,045","6,540",505,7.0
412,GA,Bibb,"67,932","63,413","4,519",7.0
413,GA,Bleckley,"4,372","3,999",373,9.0
414,GA,Brantley,"6,905","6,391",514,7.0
415,GA,Brooks,"6,886","6,467",419,6.0
416,GA,Bryan,"16,149","15,301",848,5.0
417,GA,Bulloch,"34,740","32,636","2,104",6.0
418,GA,Burke,"9,131","8,390",741,8.0
419,GA,Butts,"10,126","9,454",672,7.0
420,GA,Calhoun,"2,129","1,997",132,6.0
421,GA,Camden,"22,305","21,068","1,237",6.0
422,GA,Candler,"4,967","4,685",282,6.0
423,GA,Carroll,"51,792","48,314","3,478",7.0
424,GA,Catoosa,"31,376","29,738","1,638",5.0
425,GA,Charlton,"4,768","4,463",305,6.0
426,GA,Chatham,"133,266","125,482","7,784",6.0
427,GA,Chattahoochee,"2,110","1,925",185,9.0
428,GA,Chattooga,"10,553","9,902",651,6.0
429,GA,Cherokee,"120,360","114,736","5,624",5.0
430,GA,Clarke,"57,140","53,664","3,476",6.0
431,GA,Clay,859,758,101,12.0
432,GA,Clayton,"126,392","116,765","9,627",8.0
433,GA,Clinch,"2,774","2,579",195,7.0
434,GA,Cobb,"398,319","378,139","20,180",5.0
435,GA,Coffee,"17,291","16,129","1,162",7.0
436,GA,Colquitt,"20,053","18,773","1,280",6.0
437,GA,Columbia,"68,650","65,209","3,441",5.0
438,GA,Cook,"7,287","6,801",486,7.0
439,GA,Coweta,"67,859","64,257","3,602",5.0
440,GA,Crawford,"5,576","5,225",351,6.0
441,GA,Crisp,"9,426","8,781",645,7.0
442,GA,Dade,"7,853","7,423",430,6.0
443,GA,Dawson,"10,945","10,387",558,5.0
444,GA,Decatur,"11,394","10,620",774,7.0
445,GA,DeKalb,"373,115","350,620","22,495",6.0
446,GA,Dodge,"6,957","6,374",583,8.0
447,GA,Dooly,"4,759","4,400",359,8.0
448,GA,Dougherty,"37,879","34,958","2,921",8.0
449,GA,Douglas,"68,340","64,014","4,326",6.0
450,GA,Early,"4,358","4,056",302,7.0
451,GA,Echols,"1,866","1,779",87,5.0
452,GA,Effingham,"27,172","25,783","1,389",5.0
453,GA,Elbert,"7,613","7,048",565,7.0
454,GA,Emanuel,"8,317","7,590",727,9.0
455,GA,Evans,"4,663","4,403",260,6.0
456,GA,Fannin,"10,115","9,489",626,6.0
457,GA,Fayette,"54,164","51,358","2,806",5.0
458,GA,Floyd,"42,982","40,115","2,867",7.0
459,GA,Forsyth,"104,421","99,689","4,732",5.0
460,GA,Franklin,"9,287","8,704",583,6.0
461,GA,Fulton,"514,749","483,972","30,777",6.0
462,GA,Gilmer,"11,723","11,016",707,6.0
463,GA,Glascock,"1,234","1,152",82,7.0
464,GA,Glynn,"37,695","35,408","2,287",6.0
465,GA,Gordon,"26,154","24,611","1,543",6.0
466,GA,Grady,"10,422","9,796",626,6.0
467,GA,Greene,"6,827","6,376",451,7.0
468,GA,Gwinnett,"452,452","429,027","23,425",5.0
469,GA,Habersham,"18,818","17,743","1,075",6.0
470,GA,Hall,"92,791","88,284","4,507",5.0
471,GA,Hancock,"2,488","2,244",244,10.0
472,GA,Haralson,"11,870","11,094",776,7.0
