,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
154,LA,Beauregard,35654,32475.01389,28167.45201,12284.16365,0,15218,14253,965,6
155,OK,Beaver,5636,4997.827589,4054.244614,2220.235184,136.2462213,3023,2941,82,3
156,PA,Beaver,170539,148921.7514,114381.5972,0,0,85780,80594,5186,6
157,UT,Beaver,6629,4309.114611,2596.233522,953.773474,3.999999864,3123,3005,118,4
158,MT,Beaverhead,9246,6357.126804,4918.086806,1707.389405,1442.866964,4973,4802,171,3
159,MN,Becker,32504,30393.55888,26510.25244,10069.24357,328.3592768,18399,17597,802,4
160,OK,Beckham,22119,17779.66302,9135.84082,442.5130494,0,12210,11587,623,5
161,PA,Bedford,49762,45769.15041,40660.09695,5076.635824,0,24125,22660,1465,6
162,TN,Bedford,45058,38835.615,31132.82875,900.5387334,0,19375,18127,1248,6
163,VA,Bedford,68676,66984.90211,61009.2756,1076.397374,0,38228,36531,1697,4
164,TX,Bee,31861,29568.51654,20793.64373,3701.920073,0,10373,9732,641,6
165,NH,Belknap,60088,54795.0331,47599.84164,0,0,31461,30413,1048,3
166,KY,Bell,28691,25497.77006,20663.55818,1138.007463,0,8815,8068,747,9
167,TX,Bell,310235,276583.7374,205876.335,5720.97372,0,136155,129832,6323,5
168,OH,Belmont,70400,60772.78269,44312.45175,272.2818601,0,31148,29174,1974,6
169,MN,Beltrami,44442,39106.27108,31980.78121,5699.298925,476.7960351,23502,22353,1149,5
170,ID,Benewah,9285,7187.629976,5761.371065,2150.766222,0,4035,3767,268,7
171,SD,Bennett,3431,3431.000035,3431.000035,3319.803232,2392.177141,1129,1072,57,5
172,VT,Bennington,37125,31218.10554,25443.64804,131.2680534,0,18565,17782,783,4
173,ND,Benson,6660,6660.000007,6659.35356,3053.708498,1570.688519,2481,2367,114,5
174,CO,Bent,6499,5571.79551,3678.672015,808.0980985,54.04345628,1731,1663,68,4
175,AR,Benton,221339,197109.167,140084.5591,691.433948,0,121826,117246,4580,4
176,IA,Benton,26076,21767.90259,18719.17238,3719.228693,0,13780,13240,540,4
177,IN,Benton,8854,6578.470176,4720.150252,106.0409604,0,4578,4373,205,5
178,MN,Benton,38451,34667.78037,24526.2521,1171.321871,0,21589,20633,956,4
179,MO,Benton,19056,17722.81093,15577.38388,1199.074469,0,7195,6725,470,7
180,MS,Benton,8729,8483.255396,8110.155132,3094.872327,0,2984,2746,238,8
181,OR,Benton,85579,55760.4711,32068.00394,2705.630053,50.96716611,45433,43515,1918,4
182,TN,Benton,16489,14929.07775,12440.55986,1165.546543,0,6753,6235,518,8
183,WA,Benton,175177,121806.0182,64008.69721,294.8490685,0.210579241,91760,85591,6169,7
184,MI,Benzie,17525,16283.65118,14458.25942,0,0,8660,8056,604,7
185,NJ,Bergen,905116,485219.1354,109962.6335,0,0,483915,461124,22791,5
186,SC,Berkeley,177843,152337.5831,96080.83464,7936.783696,35.68999457,93501,88358,5143,6
187,WV,Berkeley,104169,95609.68528,76421.45188,0,0,53787,51146,2641,5
188,PA,Berks,411442,277902.3488,169723.0724,0,0,212498,202014,10484,5
189,MA,Berkshire,131219,101419.4619,70212.51606,2572.633927,0,65270,61751,3519,5
190,NM,Bernalillo,662564,452451.0681,179965.7425,3592.679118,0,320916,302038,18878,6
191,GA,Berrien,19286,17900.76006,15445.33118,2159.543257,0,7045,6540,505,7
192,MI,Berrien,156813,129926.9414,84650.91869,0,0,73276,69456,3820,5
193,NC,Bertie,21282,20678.91679,19860.49025,1876.141492,0,8603,7981,622,7
194,AK,Bethel,17013,16866.80422,16610.76812,9611.408364,7511.774511,7377,6314,1063,14
195,TX,Bexar,1714773,1397828.639,744590.0867,10412.62906,0,878118,844697,33421,4
196,AL,Bibb,22915,21631.40285,18058.80499,293.5707707,0,8572,8005,567,7
197,GA,Bibb,155547,126422.2553,61870.23431,0,0,67932,63413,4519,7
198,LA,Bienville,14353,13509.06703,11592.72541,2943.833027,0,5810,5329,481,8
199,ND,Billings,783,782.9999968,782.9999968,782.9999968,696.6315301,468,454,14,3
200,ID,Bingham,45607,40584.05257,32514.07076,1937.275952,68.83121033,22039,21126,913,4
201,IN,Blackford,12766,8547.186625,6682.336948,15.74163938,0,5242,4926,316,6
202,NC,Bladen,35190,32632.3165,29002.03253,1742.989171,0,14740,13567,1173,8
203,ID,Blaine,21376,17233.39667,12563.38238,1722.84547,565.2147432,11815,11391,424,4
204,MT,Blaine,6491,4519.377573,4312.556145,2207.767173,1877.739752,2393,2273,120,5
205,NE,Blaine,478,477.9999984,477.9999984,477.9999984,477.9999984,268,256,12,5
206,OK,Blaine,11943,10839.49285,8974.961816,4867.602445,0.36083268,4486,4314,172,4
207,PA,Blair,127089,97946.51866,53847.89666,0,0,60989,57845,3144,5
208,TX,Blanco,10497,9938.139035,8999.24744,1047.897069,0,5763,5583,180,3
209,VA,Bland,6824,6823.259755,6807.298851,2752.042363,0,2781,2623,158,6
210,GA,Bleckley,13063,10613.75497,7604.011974,246.1015432,0,4372,3999,373,9
211,TN,Bledsoe,12876,12245.68844,11194.03895,598.8926062,0,4243,3906,337,8
212,AL,Blount,57322,55450.86743,51292.07548,33.23311368,0,24473,23152,1321,5
213,TN,Blount,123010,110201.5934,89987.78292,18.1895012,0,59428,56355,3073,5
214,ID,Boise,7028,7027.999979,7027.999979,6327.122256,3381.403901,3050,2855,195,6
215,MS,Bolivar,34145,30534.51231,23463.9046,6778.65135,0,13389,12338,1051,8
216,MO,Bollinger,12363,11699.47715,11237.83551,3577.503393,0,5556,5245,311,6
217,IL,Bond,17768,15777.78013,13229.03664,1199.687024,0,7779,7366,413,5
218,ID,Bonner,40877,35831.17647,30100.73008,6004.35693,577.3932739,18525,17405,1120,6
219,ID,Bonneville,104234,83424.37851,51355.3392,1174.953596,488.4401896,50961,49163,1798,4
220,AR,Boone,36903,33923.26384,29341.82115,5929.790386,0,15844,15072,772,5
221,IA,Boone,26306,20216.5453,11908.98959,303.5674004,0,15322,14856,466,3
222,IL,Boone,54165,40229.36165,28344.08238,0,0,26333,24616,1717,7
223,IN,Boone,56640,45529.83504,33093.43025,15.28707776,0,33494,32258,1236,4
224,KY,Boone,118811,101041.3077,70501.38062,0,0,64971,62311,2660,4
225,MO,Boone,162642,138394.4949,97191.75224,2845.047371,0,98904,95425,3479,4
226,NE,Boone,5505,4103.283672,3028.261678,1587.307611,4.588699959,3011,2937,74,3
227,WV,Boone,24629,22450.64383,20514.41761,267.9804177,0,8166,7371,795,10
228,TX,Borden,641,641.0000001,641.0000001,641.0000001,431.455229,412,400,12,3
229,TX,Bosque,18212,15142.80016,12332.31687,4234.299655,0,8053,7692,361,5
230,LA,Bossier,116979,98151.77157,67759.90984,1707.024298,0,58276,54982,3294,6
231,VA,Botetourt,33148,31553.65657,27754.24839,834.4151064,0,17388,16659,729,4
232,ND,Bottineau,6429,4426.814414,4127.537319,2991.639376,1442.972842,3243,3101,142,4
233,CO,Boulder,294567,190108.896,82750.9399,621.9290815,0,176707,171102,5605,3
234,ID,Boundary,10972,9805.291839,8532.403344,1795.94283,186.332242,5088,4805,283,6
235,KS,Bourbon,15173,12965.1911,7895.186736,2436.388773,1.381654225,7119,6778,341,5
236,KY,Bourbon,19985,15352.90341,11086.19636,0,0,9659,9200,459,5
237,TX,Bowie,92565,80451.57656,57880.97061,2360.609833,0,39120,37244,1876,5
238,ND,Bowman,3151,1869.631047,1431.878305,939.7742774,82.64853965,1863,1828,35,2
239,KY,Boyd,49542,39751.47765,26404.25426,0,0,18130,16877,1253,7
240,NE,Boyd,2099,2099.000003,2099.000003,2099.000003,1623.347661,1089,1060,29,3
241,KY,Boyle,28432,23545.95065,16042.18607,0,0,11992,11325,667,6
242,KY,Bracken,8488,7837.626195,7661.077669,47.87093155,0,3689,3455,234,6
243,FL,Bradford,28520,26027.70214,21174.99998,99.64529315,0,10746,10226,520,5
244,PA,Bradford,62622,52695.74903,45908.29335,3353.588508,0,31366,29509,1857,6
245,AR,Bradley,11508,8517.777975,5856.594695,569.0719513,0,4383,4117,266,6
246,TN,Bradley,98963,85231.19032,63326.91581,38.06659478,0,49352,46775,2577,5
247,MI,Branch,45248,42530.86074,34115.11704,3215.460558,0,19116,18138,978,5
248,GA,Brantley,18411,17774.9728,17238.2114,2705.343807,0,6905,6391,514,7
249,WV,Braxton,14523,14243.41276,13813.39821,2987.224403,0,5449,4962,487,9
250,TX,Brazoria,313166,262841.5902,178219.5121,5702.906766,0,166911,159285,7626,5
251,TX,Brazos,194851,165035.6175,108453.3956,1853.032914,0,108516,104924,3592,3
252,KY,Breathitt,13878,12937.51809,11187.41313,680.9457053,0,3990,3615,375,9
253,KY,Breckinridge,20059,18458.41505,16061.02642,1961.618828,0,7912,7440,472,6
254,IA,Bremer,24276,18910.03744,12387.35903,233.2068286,0,13978,13483,495,4
255,FL,Brevard,543376,442063.6745,270133.3474,214.8840092,0,256470,241082,15388,6
256,TX,Brewster,9232,7536.653157,4679.84977,1884.979355,1754.023136,3907,3753,154,4
257,TX,Briscoe,1637,1637.000002,1637.000002,1637.000002,1474.375828,594,571,23,4
258,MA,Bristol,548285,395537.5873,242127.5198,0,0,288942,271227,17715,6
259,RI,Bristol,49875,44030.9299,27936.66539,0,0,26163,24779,1384,5
260,VA,Bristol,17835,13961.52214,5245.272636,0,0,7513,7110,403,5
261,MT,Broadwater,5612,4063.527365,3545.540106,1493.780505,551.9316328,2481,2355,126,5
262,NY,Bronx,1385108,61328.96761,14819.27514,0,0,613190,565512,47678,8
263,WV,Brooke,24069,20880.70623,15353.85938,0,0,10064,9325,739,7
264,SD,Brookings,31965,28807.64798,20819.73454,3869.752855,112.3709968,18531,17987,544,3
265,GA,Brooks,16243,13991.18832,11869.36941,1097.018562,0,6886,6467,419,6
266,TX,Brooks,7223,5380.901783,2659.486306,456.9721446,288.0685379,2601,2343,258,10
267,NY,Broome,200600,164041.3105,93195.20161,0,0,87272,82072,5200,6
268,CO,Broomfield,55889,38137.16826,12890.00482,0,0,35527,34353,1174,3
269,FL,Broward,1748066,1086617.598,220533.9394,0,0,988228,937544,50684,5
270,IL,Brown,6937,4915.37556,4804.911476,117.7408704,0,2777,2678,99,4
271,IN,Brown,15242,14798.45662,13769.27829,450.1479386,0,7443,7087,356,5
272,KS,Brown,9984,7662.366364,5125.066652,309.8695132,0,5355,5142,213,4
273,MN,Brown,25893,22281.5022,15122.59821,479.7547193,0,14620,14024,596,4
274,NE,Brown,3145,1546.388402,1315.389799,317.1275412,81.05985955,1394,1342,52,4
275,OH,Brown,44846,43218.96244,38842.305,0,0,19485,18272,1213,6
276,SD,Brown,36531,29256.0974,18800.11898,3262.908275,684.9363167,20952,20393,559,3
277,TX,Brown,38106,34446.42562,27650.82646,4239.619827,0,15880,15195,685,4
278,WI,Brown,248007,198315.5254,113819.5232,0,0,139340,133668,5672,4
279,SD,Brule,5255,4092.391562,3219.173716,1820.003012,164.7503587,2532,2464,68,3
280,NC,Brunswick,107431,100309.8974,82863.92815,1178.174503,0,48537,44994,3543,7
